,score_mean,lib_count,con_count,mod_count,part_majority,veracity,topic,authors_label,news_number,label_match,distance_from_3
Q12,2.4081632653061225,34,10,5,liberal,real,abortion,liberal,1,True,0.5918367346938775
Q15,2.510204081632653,31,13,5,liberal,real,abortion,liberal,2,True,0.48979591836734704
Q18,2.020408163265306,39,6,4,liberal,real,abortion,liberal,3,True,0.9795918367346941
Q21,2.9183673469387754,14,12,23,fail to achieve half agreement,real,abortion,liberal,4,False,0.08163265306122458
Q24,3.1020408163265305,20,20,9,fail to achieve half agreement,real,abortion,liberal,5,False,-0.1020408163265305
Q27,3.4285714285714284,10,32,7,conservative,real,abortion,conservative,6,True,0.4285714285714284
Q30,1.8775510204081634,41,3,5,liberal,real,abortion,conservative,7,False,-1.1224489795918366
Q33,2.938775510204082,14,11,24,fail to achieve half agreement,real,abortion,conservative,8,False,-0.06122448979591821
Q36,1.653061224489796,43,4,2,liberal,real,abortion,conservative,9,False,-1.346938775510204
Q39,3.5714285714285716,7,28,14,conservative,real,abortion,conservative,10,True,0.5714285714285716
Q43,1.816326530612245,41,3,5,liberal,real,gun,liberal,1,True,1.183673469387755
Q46,1.7755102040816326,42,2,5,liberal,real,gun,liberal,2,True,1.2244897959183674
Q49,2.8979591836734695,18,14,17,fail to achieve half agreement,real,gun,liberal,3,False,0.1020408163265305
Q52,1.9183673469387754,36,3,10,liberal,real,gun,liberal,4,True,1.0816326530612246
Q55,2.306122448979592,31,6,12,liberal,real,gun,liberal,5,True,0.693877551020408
Q58,3.795918367346939,5,33,11,conservative,real,gun,conservative,6,True,0.795918367346939
Q61,4.020408163265306,3,40,6,conservative,real,gun,conservative,7,True,1.020408163265306
Q64,3.4489795918367347,10,29,10,conservative,real,gun,conservative,8,True,0.44897959183673475
Q67,3.36734693877551,9,26,14,conservative,real,gun,conservative,9,True,0.36734693877551017
Q70,4.1020408163265305,6,42,1,conservative,real,gun,conservative,10,True,1.1020408163265305
Q74,2.693877551020408,25,14,10,liberal,real,inflation,liberal,1,True,0.30612244897959195
Q77,2.7755102040816326,23,12,14,fail to achieve half agreement,real,inflation,liberal,2,False,0.22448979591836737
Q80,2.673469387755102,23,11,15,fail to achieve half agreement,real,inflation,liberal,3,False,0.3265306122448979
Q83,2.3469387755102042,33,9,7,liberal,real,inflation,liberal,4,True,0.6530612244897958
Q86,3.4081632653061225,7,27,15,conservative,real,inflation,liberal,5,False,-0.40816326530612246
Q89,3.5918367346938775,10,32,7,conservative,real,inflation,conservative,6,True,0.5918367346938775
Q92,3.4693877551020407,8,26,15,conservative,real,inflation,conservative,7,True,0.46938775510204067
Q95,3.857142857142857,3,31,15,conservative,real,inflation,conservative,8,True,0.8571428571428572
Q98,3.2448979591836733,12,21,16,fail to achieve half agreement,real,inflation,conservative,9,False,0.2448979591836733
