mturkcode,gender,age,edu,ethnicity,pinterest,pcynical,pstance,veracity(1real),a-lib-mean,a-rep-mean,g-lib-mean,g-rep-mean,i-lib-mean,i-rep-mean,a-lib-dist,a-rep-dist,g-lib-dist,g-rep-dist,i-lib-dist,i-rep-dist
5015869,Male,above 50,Bachelor's degree,Caucasian,Neither agree or disagree,agree,Conservative,1,5,5,3,5,4,3,-2,2,0,2,-1,0
2133569,Male,30 ~ 39,High school degree or less,Caucasian,agree,Neither agree or disagree,Conservative,1,3,3,3,4,2,2,0,0,0,1,1,-1
5168103,Male,20 ~ 29,High school degree or less,Caucasian,Strongly Agree,agree,Very Liberal,1,3,3,3,5,1,3,0,0,0,2,2,0
8803491,Male,40 ~ 49,Bachelor's degree,Caucasian,agree,Disagree,Moderate,1,1,3,2,4,4,2,2,0,1,1,-1,-1
3645213,Female,40 ~ 49,High school degree or less,Caucasian,agree,agree,Liberal,1,2,4,1,4,1,5,1,1,2,1,2,2
5778980,Male,30 ~ 39,Bachelor's degree,Hispanic / Latino,Strongly Agree,agree,Moderate,1,1,5,1,5,1,4,2,2,2,2,2,1
3613188,Male,20 ~ 29,High school degree or less,Asian,Neither agree or disagree,agree,Moderate,1,4,4,2,2,3,3,-1,1,1,-1,0,0
5719359,Male,30 ~ 39,High school degree or less,Caucasian,Strongly disagree,Neither agree or disagree,Very Conservative,1,2,4,1,4,4,3,1,1,2,1,-1,0
4894654,Male,above 50,High school degree or less,Caucasian,Strongly Agree,agree,Conservative,1,4,4,2,4,2,5,-1,1,1,1,1,2
3451058,Female,30 ~ 39,Bachelor's degree,Caucasian,agree,agree,Liberal,1,5,2,2,5,1,3,-2,-1,1,2,2,0
6890445,Male,20 ~ 29,Bachelor's degree,Caucasian,agree,Strongly Agree,Liberal,1,2,3,1,4,2,4,1,0,2,1,1,1
4285718,Female,above 50,"Graduate degree (e.g., Master's, Doctoral)",Caucasian,Strongly Agree,agree,Liberal,1,1,4,3,4,3,5,2,1,0,1,0,2
5048319,Male,20 ~ 29,High school degree or less,Caucasian,agree,Disagree,Moderate,1,1,4,2,5,2,5,2,1,1,2,1,2
3229663,Male,above 50,"Graduate degree (e.g., Master's, Doctoral)",Caucasian,Disagree,agree,Moderate,1,2,5,1,5,2,4,1,2,2,2,1,1
7798397,Male,above 50,Bachelor's degree,Caucasian,agree,Neither agree or disagree,Conservative,1,2,3,3,4,3,4,1,0,0,1,0,1
5867532,Male,above 50,Associate degree,Caucasian,agree,Neither agree or disagree,Conservative,1,2,3,2,4,2,5,1,0,1,1,1,2
5021257,Female,40 ~ 49,Associate degree,Caucasian,Strongly disagree,Strongly Agree,Liberal,1,2,2,1,5,4,5,1,-1,2,2,-1,2
5962825,Male,40 ~ 49,Bachelor's degree,Native American / Pacific / Islander / Native Alaskan,agree,Neither agree or disagree,Conservative,1,2,3,1,4,3,3,1,0,2,1,0,0
5140104,Male,30 ~ 39,Bachelor's degree,Hispanic / Latino,agree,agree,Very Liberal,1,2,3,2,4,2,4,1,0,1,1,1,1
7934127,Male,20 ~ 29,"Graduate degree (e.g., Master's, Doctoral)",Caucasian,agree,Strongly Agree,Liberal,1,2,5,1,2,1,3,1,2,2,-1,2,0
6791189,Male,20 ~ 29,Bachelor's degree,Caucasian,Strongly Agree,Strongly disagree,Liberal,1,1,1,1,4,4,1,2,-2,2,1,-1,-2
